        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                     0.1                      -67.986257
                  0.1009                      -67.907383
                  0.1018                      -67.829191
                  0.1027                      -67.751672
                  0.1036                       -67.67481
                  0.1045                      -67.598596
                  0.1054                      -67.523019
                  0.1063                      -67.448067
                  0.1072                       -67.37373
                  0.1081                      -67.299997
                   0.109                      -67.226859
                  0.1099                      -67.154306
                  0.1108                      -67.082326
                  0.1117                      -67.010912
                  0.1126                      -66.940053
                  0.1135                      -66.869743
                  0.1144                      -66.799971
                  0.1153                      -66.730729
                  0.1162                      -66.662009
                  0.1171                      -66.593802
                   0.118                      -66.526101
                  0.1189                      -66.458898
                  0.1198                      -66.392185
                  0.1207                      -66.325955
                  0.1216                      -66.260201
                  0.1225                      -66.194914
                  0.1234                      -66.130089
                  0.1243                       -66.06572
                  0.1252                      -66.001799
                  0.1261                      -65.938319
                   0.127                      -65.875275
                  0.1279                       -65.81266
                  0.1288                      -65.750467
              0.12970001                      -65.688692
              0.13060001                      -65.627328
              0.13150001                       -65.56637
              0.13240001                      -65.505811
              0.13330001                      -65.445647
              0.13420001                      -65.385872
              0.13510001                      -65.326481
              0.13600001                      -65.267468
              0.13689999                      -65.208831
              0.13779999                      -65.150561
              0.13869999                      -65.092655
              0.13959999                      -65.035107
              0.14049999                      -64.977914
              0.14139999                      -64.921071
              0.14229999                      -64.864573
                  0.1432                      -64.808416
                  0.1441                      -64.752597
                   0.145                      -64.697108
                  0.1459                      -64.641949
                  0.1468                      -64.587114
                  0.1477                      -64.532598
                  0.1486                        -64.4784
                  0.1495                      -64.424513
                  0.1504                      -64.370934
                  0.1513                      -64.317662
                  0.1522                      -64.264689
                  0.1531                      -64.212015
                   0.154                      -64.159634
                  0.1549                      -64.107545
                  0.1558                      -64.055741
                  0.1567                      -64.004223
                  0.1576                      -63.952984
                  0.1585                      -63.902023
                  0.1594                      -63.851337
                  0.1603                      -63.800922
                  0.1612                      -63.750774
                  0.1621                      -63.700891
                   0.163                       -63.65127
                  0.1639                      -63.601909
                  0.1648                      -63.552803
                  0.1657                      -63.503951
                  0.1666                      -63.455349
                  0.1675                      -63.406996
                  0.1684                      -63.358889
                  0.1693                      -63.311022
              0.17020001                      -63.263396
              0.17110001                      -63.216008
              0.17200001                      -63.168854
              0.17290001                      -63.121934
